Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters)
F077,Carrot,205.7,Drip,2.4,3.35,3347.59,Loamy,Rabi,78265.77
F078,Carrot,235.61,Rain-fed,7.03,2.16,4389.34,Loamy,Rabi,116845.97
F079,Wheat,454.42,Sprinkler,4.78,4.78,5714.81,Clay,Rabi,215475.22
F080,Carrot,448.05,Rain-fed,21.52,6.38,6741.67,Clay,Rabi,140355.0
F081,Tomato,483.39,Manual,20.24,5.43,10049.94,Silty,Kharif,193341.22
F082,Carrot,443.7,Sprinkler,7.84,5.57,6742.15,Peaty,Zaid,145565.97
F083,Potato,14.02,Drip,0.3,0.22,244.7,Peaty,Kharif,4738.18
F084,Wheat,324.32,Drip,15.99,3.89,2007.67,Sandy,Rabi,45598.91
F085,Potato,43.44,Flood,1.08,0.34,552.68,Loamy,Zaid,4382.66
F086,Potato,143.57,Sprinkler,5.94,1.84,1893.4,Clay,Zaid,17124.39
F087,Maize,293.37,Flood,8.18,3.03,3865.16,Sandy,Kharif,142769.53
F088,Wheat,353.3,Sprinkler,15.74,3.31,2235.89,Sandy,Kharif,53174.34
F089,Potato,330.77,Sprinkler,12.62,3.28,4353.11,Clay,Kharif,38950.08
F090,Maize,34.04,Manual,0.37,0.39,264.81,Peaty,Zaid,7619.8
F091,Maize,60.77,Flood,1.32,1.11,617.06,Loamy,Zaid,20373.1
F092,Wheat,73.01,Manual,2.36,1.17,930.72,Peaty,Zaid,34998.66
F093,Cotton,54.79,Sprinkler,2.58,0.82,544.12,Sandy,Rabi,20818.89
F094,Soybean,97.33,Drip,1.37,1.17,691.78,Loamy,Rabi,20493.0
F095,Tomato,347.36,Sprinkler,11.83,1.75,7759.91,Silty,Kharif,165212.01
F096,Soybean,417.11,Manual,9.21,4.22,2095.85,Sandy,Zaid,47724.27
F097,Carrot,210.32,Flood,9.58,3.62,3923.59,Peaty,Kharif,103397.27
F098,Tomato,349.46,Flood,14.19,3.78,5329.84,Peaty,Zaid,43143.39
F099,Carrot,108.01,Manual,2.68,1.45,1799.28,Peaty,Kharif,43369.52
F100,Potato,486.91,Flood,8.12,3.93,6315.99,Clay,Rabi,57513.01
F101,Rice,181.5,Rain-fed,1.9,3.4,2332.25,Sandy,Zaid,85780.79
F102,Wheat,424.47,Drip,14.79,8.0,2636.65,Loamy,Rabi,60897.85
F103,Tomato,473.23,Drip,12.42,3.4,7165.74,Peaty,Zaid,56878.22
F104,Tomato,433.71,Drip,9.8,6.88,9462.36,Peaty,Kharif,197644.2
F105,Potato,42.86,Flood,2.12,0.26,583.51,Clay,Zaid,5928.73
F106,Cotton,328.65,Flood,9.41,4.59,3493.78,Loamy,Rabi,137761.26
F107,Maize,68.84,Sprinkler,2.75,0.53,794.68,Sandy,Zaid,27456.12
F108,Potato,12.77,Sprinkler,0.22,0.09,223.26,Silty,Kharif,4337.72
F109,Sugarcane,35.37,Drip,0.37,0.18,729.51,Clay,Zaid,8885.39
F110,Maize,458.91,Rain-fed,12.25,8.77,5819.44,Sandy,Rabi,213960.08
F111,Wheat,455.15,Sprinkler,16.67,7.94,5588.91,Silty,Kharif,204102.76
F112,Maize,120.65,Sprinkler,3.65,0.74,1085.11,Peaty,Rabi,32636.75
F113,Cotton,278.06,Flood,12.68,3.89,1714.73,Peaty,Zaid,53579.38
F114,Maize,477.96,Rain-fed,13.08,4.06,3667.88,Loamy,Rabi,99908.15
F115,Wheat,253.39,Drip,5.69,2.27,1769.96,Silty,Zaid,47669.36
F116,Cotton,202.85,Sprinkler,9.46,3.67,1764.58,Peaty,Kharif,64203.18
F117,Soybean,246.79,Rain-fed,6.48,1.66,2911.73,Peaty,Rabi,110418.51
F118,Tomato,397.21,Rain-fed,8.26,5.57,8267.09,Loamy,Rabi,162633.81
F119,Tomato,243.87,Drip,3.39,2.69,5104.67,Sandy,Zaid,101985.8
F120,Carrot,393.81,Rain-fed,16.43,3.1,5653.71,Peaty,Rabi,109996.1
F121,Soybean,221.53,Rain-fed,9.53,2.61,1667.75,Clay,Rabi,50725.88
F122,Soybean,133.48,Rain-fed,1.51,2.55,1431.23,Clay,Kharif,53785.86
F123,Maize,169.97,Sprinkler,4.14,2.84,1999.03,Sandy,Zaid,70932.45
F124,Tomato,48.13,Drip,1.93,0.34,983.46,Silty,Zaid,18201.27
F125,Wheat,253.72,Rain-fed,12.14,4.5,1414.85,Loamy,Kharif,28630.12
F126,Barley,82.57,Rain-fed,2.07,1.57,767.21,Clay,Kharif,27734.57
F127,Barley,407.66,Sprinkler,18.3,3.73,3105.52,Clay,Zaid,97356.21
F128,Cotton,216.09,Drip,5.56,2.16,1243.71,Sandy,Kharif,38567.01
F129,Tomato,384.85,Flood,6.61,2.65,7774.73,Silty,Kharif,145380.64
F130,Tomato,477.69,Sprinkler,4.84,4.86,8010.21,Silty,Kharif,99076.99
F131,Barley,426.24,Drip,9.89,6.44,5086.41,Sandy,Zaid,198261.72
F132,Tomato,476.22,Rain-fed,11.97,4.33,8090.21,Clay,Kharif,104401.87
F133,Maize,288.29,Drip,13.78,1.47,2948.78,Loamy,Rabi,92849.85
F134,Sugarcane,91.01,Drip,1.66,0.92,2211.32,Clay,Rabi,39234.41
F135,Rice,468.34,Drip,11.84,5.53,4193.49,Silty,Zaid,122166.29
F136,Soybean,435.57,Flood,4.79,5.88,4951.02,Clay,Kharif,187931.19
F137,Carrot,433.56,Drip,17.58,6.62,7235.35,Loamy,Rabi,168863.25
F138,Cotton,349.7,Flood,16.3,2.07,4095.74,Peaty,Zaid,163782.82
F139,Sugarcane,316.21,Rain-fed,6.17,3.81,6376.87,Clay,Rabi,72833.62
F140,Barley,17.21,Flood,0.47,0.15,94.35,Sandy,Kharif,2444.68
F141,Soybean,376.55,Rain-fed,5.6,7.24,3062.91,Peaty,Zaid,102473.29
F142,Tomato,54.85,Rain-fed,1.55,0.57,1145.4,Sandy,Rabi,22726.66
F143,Carrot,137.28,Flood,2.1,0.89,1940.65,Sandy,Zaid,38461.72
F144,Tomato,280.23,Sprinkler,8.67,1.58,4715.3,Sandy,Rabi,57389.8
F145,Wheat,231.35,Manual,9.11,2.08,1265.24,Clay,Rabi,25689.28
F146,Wheat,17.73,Drip,0.57,0.14,138.79,Silty,Kharif,3992.84
F147,Carrot,413.75,Manual,8.2,6.1,6740.56,Peaty,Kharif,159440.61
F148,Carrot,440.61,Drip,10.64,7.8,5261.36,Loamy,Rabi,70077.43
F149,Barley,344.12,Drip,12.23,3.33,2598.88,Silty,Zaid,81332.83
F150,Carrot,275.12,Rain-fed,9.24,3.76,2971.21,Clay,Zaid,29738.78
F151,Maize,480.76,Drip,7.44,7.67,5365.27,Sandy,Kharif,186872.97
F152,Tomato,68.78,Drip,3.01,0.76,1511.95,Loamy,Rabi,31106.69
F153,Sugarcane,371.58,Flood,10.78,2.23,8275.85,Peaty,Kharif,121658.17
F154,Potato,72.9,Manual,1.2,0.62,934.07,Silty,Rabi,8044.07
F155,Carrot,197.1,Flood,2.94,3.6,2433.36,Silty,Rabi,36868.32
F156,Cotton,296.89,Drip,14.44,5.16,2361.63,Loamy,Kharif,81759.13
F157,Wheat,371.17,Rain-fed,7.89,2.34,3623.33,Clay,Zaid,124355.0
F158,Maize,11.82,Flood,0.55,0.1,113.79,Peaty,Kharif,3528.66
F159,Soybean,137.69,Flood,3.64,2.28,1686.56,Loamy,Rabi,64212.62
F160,Potato,273.72,Sprinkler,6.96,3.36,5519.72,Sandy,Kharif,130140.55
F161,Sugarcane,271.11,Drip,10.31,4.45,5059.51,Peaty,Zaid,38730.77
F162,Potato,322.44,Rain-fed,3.35,2.63,4390.23,Silty,Zaid,50092.63
F163,Carrot,158.89,Flood,3.74,3.07,2153.69,Loamy,Rabi,38645.11
F164,Barley,274.86,Flood,6.08,4.61,2206.15,Silty,Kharif,73798.07
F165,Wheat,103.0,Rain-fed,4.61,0.82,1027.12,Silty,Zaid,34444.45
F166,Wheat,101.57,Drip,3.17,1.36,1166.45,Silty,Kharif,41567.86
F167,Soybean,292.52,Sprinkler,7.19,1.96,1747.12,Clay,Zaid,45137.34
F168,Barley,345.88,Flood,7.14,3.6,3837.56,Silty,Rabi,145635.47
F169,Tomato,69.0,Sprinkler,2.32,1.03,1352.63,Sandy,Rabi,23735.4
F170,Rice,70.17,Manual,1.13,0.7,937.13,Sandy,Kharif,34547.01
F171,Maize,287.0,Drip,5.7,4.26,3071.91,Peaty,Rabi,103453.44
F172,Wheat,142.35,Manual,3.1,1.23,1543.99,Silty,Zaid,55008.06
F173,Cotton,202.28,Manual,6.94,3.2,1170.92,Silty,Rabi,36021.95
F174,Wheat,206.37,Manual,5.14,2.14,2333.83,Loamy,Zaid,84103.69
F175,Potato,97.49,Drip,2.95,1.64,1302.03,Clay,Zaid,12840.18
F176,Wheat,10.64,Drip,0.38,0.08,112.82,Peaty,Rabi,3859.71
F177,Wheat,428.04,Rain-fed,20.65,4.46,2460.96,Silty,Zaid,52319.51
F178,Rice,360.35,Sprinkler,14.63,4.31,2443.42,Loamy,Zaid,52643.79
F179,Rice,348.36,Sprinkler,9.13,3.96,2288.24,Clay,Kharif,49867.08
F180,Sugarcane,277.79,Rain-fed,11.09,3.19,5043.19,Peaty,Kharif,33610.52
F181,Tomato,353.48,Rain-fed,16.96,4.13,6139.16,Peaty,Kharif,80753.36
F182,Cotton,468.49,Manual,14.04,9.29,5685.15,Silty,Rabi,233185.33
F183,Wheat,336.18,Rain-fed,8.88,2.65,2663.71,Peaty,Kharif,80444.59
F184,Wheat,139.89,Flood,1.84,2.31,1562.85,Loamy,Zaid,56560.91
F185,Maize,289.57,Sprinkler,13.23,3.84,1952.97,Peaty,Rabi,44283.69
F186,Rice,226.74,Rain-fed,4.5,2.54,2077.2,Sandy,Rabi,63894.23
F187,Cotton,282.65,Flood,3.55,4.1,1582.22,Loamy,Rabi,49193.39
F188,Soybean,263.63,Flood,8.3,4.69,1696.53,Clay,Rabi,46619.88
F189,Sugarcane,430.8,Flood,18.88,5.17,8005.21,Clay,Zaid,60258.57
F190,Tomato,329.38,Flood,8.65,5.92,5969.25,Silty,Zaid,89861.24
F191,Barley,102.49,Manual,4.24,0.66,554.03,Silty,Kharif,13345.85
F192,Tomato,40.88,Flood,1.78,0.6,901.03,Sandy,Rabi,18964.41
F193,Potato,217.94,Manual,6.14,2.18,3536.84,Clay,Kharif,60839.67
F194,Wheat,17.65,Manual,0.59,0.19,209.59,Clay,Zaid,7684.93
F195,Sugarcane,165.97,Flood,5.2,2.25,4239.74,Clay,Rabi,81619.58
F196,Potato,190.33,Sprinkler,9.05,2.32,3478.51,Clay,Zaid,70633.88
F197,Cotton,194.04,Flood,7.57,2.08,2231.84,Peaty,Kharif,89374.99
F198,Barley,489.88,Flood,23.03,4.72,2919.78,Loamy,Zaid,75513.77
F199,Rice,158.91,Flood,2.99,2.27,1955.81,Loamy,Rabi,68649.33
F200,Sugarcane,139.96,Sprinkler,3.14,1.76,2772.81,Sandy,Rabi,29180.14
F201,Sugarcane,73.4,Drip,0.94,0.72,1572.44,Peaty,Kharif,21214.51
F202,Wheat,260.39,Drip,7.81,2.1,2720.71,Clay,Rabi,93386.02
F203,Carrot,85.3,Manual,3.83,1.42,1532.69,Clay,Zaid,39359.1
F204,Sugarcane,311.98,Manual,7.2,5.3,7765.78,Silty,Zaid,144884.79
F205,Maize,86.03,Sprinkler,1.3,0.71,531.93,Silty,Zaid,11772.19
F206,Barley,292.57,Rain-fed,3.73,2.61,2153.77,Sandy,Zaid,71920.18
F207,Barley,414.87,Drip,11.57,3.56,4602.11,Clay,Kharif,173113.64
F208,Maize,30.84,Manual,0.51,0.56,335.91,Sandy,Zaid,11757.03
F209,Soybean,215.68,Drip,5.14,3.58,1104.64,Peaty,Kharif,23841.04
F210,Maize,235.91,Sprinkler,10.1,1.44,2192.38,Loamy,Zaid,66045.48
F211,Maize,397.63,Sprinkler,10.08,6.95,4817.01,Clay,Kharif,171655.36
F212,Barley,239.28,Rain-fed,8.23,1.33,2533.96,Peaty,Zaid,94532.72
F213,Tomato,288.09,Rain-fed,8.67,2.53,5162.36,Clay,Zaid,76269.59
F214,Barley,397.69,Sprinkler,15.41,7.47,4257.22,Silty,Kharif,156715.52
F215,Carrot,284.28,Manual,4.62,5.11,4237.44,Sandy,Rabi,91107.8
F216,Wheat,185.57,Drip,8.69,3.1,2361.41,Silty,Rabi,86298.1
F217,Potato,52.06,Flood,1.86,0.62,911.48,Loamy,Rabi,17433.25
F218,Tomato,367.66,Rain-fed,7.66,3.61,6549.15,Silty,Kharif,95699.22
F219,Rice,436.86,Flood,6.52,7.96,5446.8,Clay,Rabi,194475.17
F220,Potato,485.33,Manual,7.76,7.21,6300.72,Silty,Rabi,58214.33
F221,Wheat,464.03,Rain-fed,19.17,4.38,5770.84,Clay,Kharif,213550.4
F222,Carrot,400.73,Flood,13.43,4.79,6557.27,Loamy,Rabi,151693.63
F223,Carrot,325.3,Manual,8.21,5.93,5911.38,Silty,Rabi,154922.23
F224,Rice,392.92,Drip,9.16,7.29,3007.73,Sandy,Rabi,78662.44
F225,Tomato,221.72,Manual,9.81,3.3,4496.18,Sandy,Kharif,83803.57
F226,Soybean,301.44,Rain-fed,13.56,4.82,3429.69,Sandy,Kharif,127745.99
F227,Maize,180.86,Sprinkler,6.01,1.01,2033.99,Silty,Rabi,68880.02
F228,Tomato,170.09,Drip,5.27,2.39,2804.46,Silty,Rabi,31318.81
F229,Soybean,380.78,Flood,16.24,5.84,2753.02,Silty,Kharif,80053.38
F230,Carrot,232.43,Rain-fed,9.29,1.23,3550.98,Clay,Rabi,75933.21
F231,Barley,113.96,Sprinkler,2.96,2.01,948.04,Loamy,Kharif,31760.41
F232,Wheat,108.95,Manual,1.45,2.06,1182.17,Sandy,Rabi,42931.29
F233,Rice,430.99,Sprinkler,17.56,3.69,3818.45,Clay,Kharif,108382.47
F234,Wheat,342.1,Rain-fed,5.73,6.05,4045.97,Sandy,Zaid,151822.49
F235,Cotton,277.56,Rain-fed,2.96,4.16,2055.53,Clay,Zaid,75710.23
F236,Cotton,206.46,Sprinkler,9.03,2.83,970.17,Silty,Kharif,23952.77
F237,Tomato,221.1,Manual,7.33,3.9,3259.25,Sandy,Zaid,23645.73
F238,Carrot,38.14,Sprinkler,1.74,0.35,613.78,Silty,Rabi,13681.87
F239,Carrot,232.91,Rain-fed,6.84,3.93,3470.04,Sandy,Kharif,73649.82
F240,Maize,399.77,Rain-fed,18.81,3.88,3973.45,Peaty,Kharif,126767.13
F241,Maize,200.11,Flood,4.83,3.36,2353.92,Clay,Rabi,83247.89
F242,Maize,197.95,Flood,7.72,2.33,1702.87,Peaty,Rabi,49545.73
F243,Barley,17.7,Drip,0.39,0.12,224.27,Clay,Kharif,8818.33
F244,Potato,234.34,Rain-fed,2.35,2.51,4713.14,Loamy,Rabi,112063.86
F245,Sugarcane,22.42,Flood,0.56,0.19,397.42,Sandy,Kharif,2357.76
F246,Potato,289.47,Sprinkler,11.44,1.88,5807.52,Loamy,Rabi,132663.82
F247,Wheat,258.32,Manual,4.13,1.72,2728.53,Loamy,Kharif,96153.27
F248,Potato,421.6,Sprinkler,12.73,7.04,7061.09,Clay,Rabi,126833.77
F249,Barley,295.07,Manual,5.46,5.38,2725.07,Peaty,Rabi,98288.35
F250,Wheat,168.48,Flood,2.19,3.19,1986.71,Silty,Zaid,73582.19
F251,Potato,262.95,Drip,9.12,4.68,5354.37,Clay,Zaid,126326.65
F252,Barley,352.86,Sprinkler,16.96,6.16,3304.48,Silty,Zaid,114372.47
F253,Sugarcane,56.04,Sprinkler,1.26,0.34,1076.66,Loamy,Rabi,9668.22
F254,Potato,314.33,Sprinkler,10.44,5.3,5627.47,Silty,Kharif,111869.23
F255,Barley,459.15,Manual,22.11,7.69,2490.71,Peaty,Rabi,59912.97
F256,Maize,156.57,Flood,5.64,1.09,1662.56,Clay,Zaid,55435.83
F257,Carrot,317.05,Sprinkler,11.71,4.73,5478.4,Peaty,Rabi,134251.58
F258,Maize,412.45,Sprinkler,7.08,4.86,3406.25,Peaty,Zaid,99537.97
F259,Carrot,260.79,Drip,7.75,4.82,2942.08,Clay,Zaid,33504.05
F260,Rice,361.81,Drip,8.93,5.58,4073.61,Peaty,Kharif,136362.72
F261,Rice,162.4,Flood,4.68,3.13,1353.98,Sandy,Kharif,38281.63
F262,Rice,159.97,Flood,6.72,1.05,1238.05,Sandy,Zaid,31935.93
F263,Sugarcane,337.12,Rain-fed,9.58,1.89,7785.38,Sandy,Zaid,126645.34
F264,Maize,355.65,Drip,4.45,6.97,4693.87,Silty,Rabi,173498.54
F265,Carrot,469.13,Rain-fed,21.68,2.91,7855.07,Peaty,Zaid,186776.13
F266,Barley,120.17,Manual,3.82,1.3,1035.0,Clay,Rabi,35635.48
F267,Wheat,239.43,Rain-fed,11.25,3.53,2405.2,Clay,Zaid,81453.96
F268,Barley,132.75,Sprinkler,4.37,2.42,785.46,Silty,Kharif,20830.26
F269,Wheat,49.25,Rain-fed,0.63,0.43,566.89,Clay,Kharif,20943.24
F270,Cotton,207.58,Flood,6.67,1.13,1869.28,Sandy,Zaid,70934.83
F271,Barley,193.3,Manual,6.38,2.48,2403.18,Peaty,Rabi,94007.8
F272,Potato,142.51,Sprinkler,2.65,1.72,2919.84,Clay,Rabi,70086.81
F273,Potato,155.53,Rain-fed,4.49,1.49,2407.35,Clay,Rabi,37611.94
F274,Tomato,186.6,Manual,5.3,3.38,4211.8,Loamy,Zaid,92445.95
F275,Maize,494.53,Manual,17.27,8.03,6515.57,Loamy,Zaid,238726.37
F276,Wheat,393.65,Sprinkler,8.02,7.04,4061.72,Loamy,Kharif,140112.69
F277,Wheat,44.99,Rain-fed,1.5,0.33,353.67,Peaty,Kharif,10499.23
F278,Maize,437.48,Manual,8.59,6.73,4955.66,Sandy,Zaid,175577.5
F279,Sugarcane,320.32,Manual,8.92,6.29,6324.33,Sandy,Kharif,66784.8
F280,Tomato,446.39,Drip,6.65,6.33,8765.1,Sandy,Rabi,157101.74
F281,Sugarcane,177.44,Manual,2.04,1.34,3148.79,Peaty,Rabi,19488.46
F282,Sugarcane,237.61,Drip,5.42,4.74,5394.19,Peaty,Zaid,83505.51
F283,Sugarcane,449.15,Rain-fed,9.42,5.81,11337.46,Loamy,Rabi,215881.55
F284,Maize,143.56,Rain-fed,3.77,2.53,1040.61,Clay,Zaid,27859.02
F285,Sugarcane,458.6,Rain-fed,22.23,3.32,11039.1,Silty,Rabi,188607.37
F286,Potato,415.96,Flood,12.85,6.24,6264.23,Silty,Zaid,90418.04
F287,Rice,490.47,Rain-fed,15.76,9.17,5544.19,Clay,Rabi,187919.93
F288,Cotton,168.89,Manual,8.05,2.19,1682.47,Loamy,Rabi,64174.9
F289,Wheat,125.52,Sprinkler,5.88,1.17,860.39,Clay,Kharif,21827.15
F290,Wheat,172.12,Drip,7.81,1.19,1750.37,Clay,Kharif,58324.68
F291,Cotton,477.78,Flood,6.65,4.51,5249.06,Silty,Kharif,211974.79
F292,Maize,173.21,Rain-fed,6.13,1.79,1489.96,Loamy,Kharif,43823.39
F293,Barley,286.95,Rain-fed,12.15,4.49,2991.17,Peaty,Kharif,110222.04
F294,Maize,207.8,Sprinkler,9.02,1.6,2304.49,Silty,Kharif,76839.68
F295,Wheat,204.15,Sprinkler,6.76,1.35,1497.48,Peaty,Zaid,41443.16
F296,Wheat,104.76,Flood,1.12,1.13,1302.36,Loamy,Zaid,48968.74
F297,Cotton,273.17,Drip,13.37,3.25,2435.04,Clay,Kharif,88890.5
F298,Sugarcane,426.21,Rain-fed,12.31,6.15,8694.72,Sandy,Zaid,103192.25
F299,Maize,34.25,Flood,0.88,0.53,230.28,Sandy,Kharif,5676.32
F300,Carrot,445.72,Manual,11.5,8.17,6431.32,Loamy,Zaid,128984.24
F301,Cotton,336.08,Manual,9.06,3.14,3343.55,Sandy,Rabi,131759.3
F302,Potato,312.2,Flood,6.15,4.04,5494.07,Peaty,Zaid,109100.78
F303,Wheat,316.69,Rain-fed,7.31,3.32,3432.84,Sandy,Zaid,123769.55
F304,Cotton,155.17,Flood,7.67,0.78,1667.22,Loamy,Zaid,64660.93
F305,Maize,213.42,Rain-fed,5.28,2.92,1917.54,Loamy,Rabi,58989.92
F306,Wheat,401.65,Sprinkler,12.48,6.92,3778.81,Peaty,Kharif,123735.55
F307,Barley,160.13,Flood,7.03,0.89,2026.59,Sandy,Zaid,79193.68
F308,Cotton,240.31,Rain-fed,7.47,1.21,2847.2,Sandy,Zaid,117083.92
F309,Tomato,19.62,Flood,0.45,0.31,352.27,Clay,Rabi,5217.44
F310,Wheat,369.44,Flood,11.43,5.64,3957.95,Silty,Kharif,138198.43
